category,item,price,description,nutrition,modifiers,image
Salads,Caesar Salad,7.49,"Romaine lettuce, parmesan and homemade focaccia croutons tossed with Caesar dressing.  Side: French Baguette","Calories                           340 Cal
Calories                            230 Cal
from Fat
Fat                                      26 g
Saturated                        7 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    45 mg
Sodium                            620 mg
Carbohydrates              18 g
Dietary Fiber                  4 g
Total Sugars                    3 g
Protein                             10 g ","+ Chicken                                                             $1.99
+ Bacon                                                                 $0.99
+ Avocado                                                            $0.99
no Parmesan
Parmesan on the side
no Croutons
Croutons on the side
no Caesar dressing
Caesar dressing on the side
no Salt
no Pepper",
Salads,Greek Salad,7.49,"Romaine lettuce, grape tomatoes, feta, red onion, kalamata olives, salt and pepper tossed in Greek dressing with pepperoncini.
Side: French Baguette","Calories                           410 Cal
Calories                            330 Cal
from Fat
Fat                                      36 g
Saturated                        8 g
Fat
Trans Fatty                      0.5 g
Acid
Cholesterol                    25 mg
Sodium                            1190 mg
Carbohydrates              15 g
Dietary Fiber                  6 g
Total Sugars                    6 g
Protein                             9 g ","+ Chicken                                                             $1.99
+ Bacon                                                                 $0.99
+ Avocado                                                            $0.99
no Feta
Feta on the side
no Olives
Olives on the side
no Greek dressing
Greek dressing on the side
no Red Onions
no Grape Tomatoes
no Pepperoncini
no Salt
no Pepper",
Salads,Strawberry Poppyseed Salad with Chicken,11.19,"Chicken raised without antibiotics, romaine, mandarin oranges and fresh strawberries, blueberries and pineapple tossed in poppyseed dressing and topped with toasted pecan pieces.
Side: French Baguette","Calories                           190 Cal
Calories                            100 Cal
from Fat
Fat                                      11 g
Saturated                        2 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            140 mg
Carbohydrates              21 g
Dietary Fiber                  4 g
Total Sugars                    14 g
Protein                             4 g ","- Chicken                                                            -$1.99
no pecan pieces
no dressing
dressing on the side
Balsamic vinaigarette
Caesar dressing
Greek dressing
Fat-Free Poppyseed dressing
",
Salads,Seasonal Greens Salad,7.49,"Arugula, romaine, kale and radicchio blend, grape tomatoes, red onions and diced cucumbers tossed with reduced-fat balsami vinaigarette.
Side: French Baguette","Calories                           190 Cal
Calories                            100 Cal
from Fat
Fat                                      11 g
Saturated                        2 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            140 mg
Carbohydrates              21 g
Dietary Fiber                  4 g
Total Sugars                    14 g
Protein                             4 g ","+ Chicken                                                             $1.99
+ Bacon                                                                 $0.99
+ Avocado                                                            $0.99
no red onions
no grape tomatoes
no dressing
dressing on the side
Balsamic vinaigarette
Caesar dressing
Greek dressing
Fat-Free Poppyseed dressing
no Salt
no Pepper",
Pasta,Mac & Cheese,8.89,"Tender shell pasta in a blend of rich cheeses including a tangy Vermont white cheddar cheese sauce.
Side: French Baguette","Calories                           1010 Cal
Calories                            600 Cal
from Fat
Fat                                      67 g
Saturated                        37 g
Fat
Trans Fatty                      2.5 g
Acid
Cholesterol                    200 mg
Sodium                            2220 mg
Carbohydrates              67 g
Dietary Fiber                  2 g
Total Sugars                    16 g
Protein                             33 g ","+ Chicken                                                             $1.99
+ Bacon                                                                 $0.99
+ Avocado                                                            $0.99
",
Pasta,Tortellini Alfredo,8.89,"Tortellini pasta filled with a three-cheese blend, tossed in alfredo sauce and topped with parmesan.
Side: French Baguette","Calories                           720 Cal
Calories                            350 Cal
from Fat
Fat                                      39 g
Saturated                        21 g
Fat
Trans Fatty                      1 g
Acid
Cholesterol                    115 mg
Sodium                            1500 mg
Carbohydrates              68 g
Dietary Fiber                  3 g
Total Sugars                    2 g
Protein                             25 g ","+ Chicken                                                             $1.99
+ Bacon                                                                 $0.99
+ Avocado                                                            $0.99
",
Snacks,Apple,0.99,Fresh apple.,"Calories                           80 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            0 mg
Carbohydrates              22 g
Dietary Fiber                  5 g
Total Sugars                    16 g
Protein                             0 g ",,
Snacks,Banana,0.99,Banana,"Calories                           90 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            0 mg
Carbohydrates              23 g
Dietary Fiber                  3 g
Total Sugars                    12 g
Protein                             1 g ",,
Snacks,Homestyle Chocolate Chunk Cookie,3.49,"A large homestyle cookie made with large semi-sweet chocolate chunks, with a crispy outside and soft gooey inside.  Big enough to share.","Calories                           630 Cal
Calories                            290 Cal
from Fat
Fat                                      33 g
Saturated                        20 g
Fat
Trans Fatty                      1 g
Acid
Cholesterol                    75 mg
Sodium                            380 mg
Carbohydrates              85 g
Dietary Fiber                  4 g
Total Sugars                    47 g
Protein                             7 g ",,
Snacks,Oatmeal Raising with Berries Cookie,2.49,"A chewy oatmeal raisin cookie with sweetened, dried cranberries and infused, dried strawberries and blueberries","Calories                           350 Cal
Calories                            110 Cal
from Fat
Fat                                      13 g
Saturated                        7 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    50 mg
Sodium                            170 mg
Carbohydrates              54 g
Dietary Fiber                  2 g
Total Sugars                    33 g
Protein                             4 g ",,
Snacks,Triple Chocolate Cookie with Walnuts,2.49,"A freshly baked flourless chocolate cookie with a soft, brownie-like texture, made with chocolate chunks, white chocolate chunks and walnuts.","Calories                           320 Cal
Calories                            120 Cal
from Fat
Fat                                      13 g
Saturated                        6 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    10 mg
Sodium                            125 mg
Carbohydrates              53 g
Dietary Fiber                  6 g
Total Sugars                    44 g
Protein                             5 g ",,
Snacks,Chips,0.99,Kettle-cooked potato chips,"Calories                           150 Cal
Calories                            80 Cal
from Fat
Fat                                      9 g
Saturated                        1 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            75 mg
Carbohydrates              17 g
Dietary Fiber                  1 g
Total Sugars                    1 g
Protein                             2 g ",,
Beverages,Light Roast Coffee,2.39,"Soft and smooth with hints of citrus, roasted nuts and chocolate.  A blend of Central and South American beans.  Light bodied with a bright sweetness.  Freshly ground in cafes.","Calories                           20 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              3 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             1 g ","Regular
Large
Small",
Beverages,Hazelnut Coffee,2.39,"Soft and smooth with a buttery toasted hazelnut flavor. 100% Arabica coffee balanced with the flavor of buttery, toasted hazelnuts.  Freshly ground in cafes.","Calories                           20 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              3 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             1 g ","Regular
Large
Small",
Beverages,Dark Roast Coffee,2.39,"Rich and bold full body with dark chocolate notes and a nutty, sweet finish. Brewed from beans harvested from the volcanic soils of Costa Rica and Columbia.  Freshly ground in cafes.","Calories                           20 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              4 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             1 g ","Regular
Large
Small",
Beverages,Decaf Coffee,2.39,"Medium body with sweet caramel and citrus notes.  A smooth and balanced from Antioquia, Colombia.  Fresh tasting with a clean finish.  Freshly ground in cafes.","Calories                           20 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              2 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             1 g ","Regular
Large
Small",
Beverages,Iced Coffee,2.39,Freshly brewed coffee served over ice.,"Calories                           15 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            15 mg
Carbohydrates              3 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             1 g ","Regular
Large
Small",
Beverages,Cold Brew,2.99,Dark roast cold brew coffee served over ice.,"Calories                           10 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            15 mg
Carbohydrates              2 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             1 g ","Regular
Large
Small",
Beverages,Hot Tea,2.39,Hot 'Republican of Tea' Teas,"Calories                           0 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            15 mg
Carbohydrates              1 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             0 g ",,
Beverages,Agave Lemonade,2.59,"Crisp Lemonade made with lemon juice, sugar, agave nectar and water.","Calories                           160 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              43 g
Dietary Fiber                  0 g
Total Sugars                    41 g
Protein                             0 g ",,
Beverages,Iced Tea,2.59,Freshly brewed black iced tea.,"Calories                           130 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              31 g
Dietary Fiber                  0 g
Total Sugars                    31 g
Protein                             0 g ",,
Beverages,Bottled Water,1.99,Individual bottle of water.,"Calories                           0 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              0 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             0 g ",,
Beverages,San Pellegrino Sparkling Water,2.69,San Pellegrino Sparkling Water.,"Calories                           0 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              0 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             0 g ",,
Beverages,San Pellegrino Orange,2.69,San Pellegrino Sparkling Water.,"Calories                           0 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            10 mg
Carbohydrates              0 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             0 g ",,
Beverages,Spindrift Raspberry Lime Selzer,2.69,Selzer with raspberries and fresh squeezed lime juice.,"Calories                           10 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            0 mg
Carbohydrates              2 g
Dietary Fiber                  0 g
Total Sugars                    2 g
Protein                             0 g ",,
Beverages,Spindrift Mango Orange Selzer,2.69,Sparkling Water with fresh squeezed orange and alphonso mango puree.,"Calories                           10 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            0 mg
Carbohydrates              3 g
Dietary Fiber                  0 g
Total Sugars                    1 g
Protein                             0 g ",,
Beverages,Spindrift Lemon Selzer,2.69,Selzer with fresh squeezed lemon juice.,"Calories                           0 Cal
Calories                            0 Cal
from Fat
Fat                                      0 g
Saturated                        0 g
Fat
Trans Fatty                      0 g
Acid
Cholesterol                    0 mg
Sodium                            0 mg
Carbohydrates              1 g
Dietary Fiber                  0 g
Total Sugars                    0 g
Protein                             0 g ",,
